qx,qy,qz,qw,qtime,mx,my,mz,mtime,ax,ay,az,atime,gyrox,gyroy,gyroz,gyrotime,linax,linay,linaz
0.024278,0.011067,0.748153,0.662989,34979,-250,-1769,604,34727,45,99,2046,34979,0,0,0,34979,0,0,1
0.024278,0.011067,0.748153,0.662989,35018,-245,-1774,604,35040,45,99,2046,35018,0,0,0,35018,0,0,2
0.024276,0.011068,0.748154,0.662989,35056,-245,-1774,604,35040,45,99,2047,35056,0,1,0,35056,0,0,2
0.024283,0.011063,0.748153,0.662990,35094,-245,-1774,604,35040,45,99,2046,35133,0,-1,0,35094,0,0,1
0.024285,0.011063,0.748153,0.662990,35171,-245,-1774,604,35040,45,99,2046,35171,0,0,0,35171,0,0,1
0.024287,0.011062,0.748152,0.662991,35210,-245,-1774,604,35040,45,99,2047,35210,0,-1,0,35210,0,0,2
0.024287,0.011062,0.748153,0.662990,35248,-245,-1774,604,35040,45,99,2047,35248,0,0,0,35248,0,0,2
0.024287,0.011062,0.748153,0.662989,35286,-245,-1774,604,35040,45,99,2046,35325,0,0,0,35286,0,0,1
0.024286,0.011063,0.748154,0.662989,35363,-240,-1754,609,35353,45,99,2046,35363,0,0,0,35363,0,0,1
0.024291,0.011062,0.748151,0.662991,35402,-240,-1754,609,35353,45,99,2046,35402,1,-2,-1,35402,0,0,1
0.024290,0.011062,0.748153,0.662990,35440,-240,-1754,609,35353,44,99,2046,35478,0,0,0,35440,0,0,1
0.024292,0.011062,0.748151,0.662991,35517,-240,-1754,609,35353,45,99,2046,35517,0,0,0,35517,0,0,1
0.024291,0.011061,0.748151,0.662991,35555,-240,-1754,609,35353,45,99,2046,35555,0,0,0,35555,0,0,1
0.024290,0.011060,0.748152,0.662990,35594,-240,-1754,609,35353,45,99,2046,35594,0,0,0,35594,0,0,1
0.024291,0.011061,0.748152,0.662990,35632,-245,-1759,619,35666,45,99,2046,35670,1,0,0,35632,0,0,1
0.024294,0.011062,0.748151,0.662991,35709,-245,-1759,619,35666,45,99,2046,35709,0,0,0,35709,0,0,1
0.024295,0.011062,0.748151,0.662992,35747,-245,-1759,619,35666,45,99,2046,35747,0,0,0,35747,0,0,1
0.024296,0.011063,0.748151,0.662992,35785,-245,-1759,619,35666,45,99,2046,35785,1,0,0,35785,0,0,1
0.024296,0.011062,0.748150,0.662993,35824,-245,-1759,619,35666,45,100,2046,35862,0,0,0,35824,0,0,1
0.024297,0.011062,0.748150,0.662992,35901,-245,-1759,619,35666,45,99,2046,35901,0,0,0,35901,0,0,1
0.024299,0.011062,0.748150,0.662992,35939,-245,-1759,619,35666,45,99,2046,35939,1,0,0,35939,0,0,1
0.024300,0.011063,0.748150,0.662992,35977,-260,-1759,594,35979,45,99,2046,36016,1,0,0,35977,0,0,1
0.024303,0.011063,0.748148,0.662994,36054,-260,-1759,594,35979,45,99,2046,36054,0,0,0,36054,0,0,1
0.024302,0.011064,0.748147,0.662995,36093,-260,-1759,594,35979,45,99,2046,36093,0,0,0,36093,0,0,1
0.024302,0.011064,0.748148,0.662995,36131,-260,-1759,594,35979,45,99,2046,36131,0,0,0,36131,0,0,1
